,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
91052,Amélie,0,2001,122,"Comedy,Romance",7.586445989858036
40845,Annie Hall,0,1977,93,"Comedy,Romance",6.747439897439063
20731,Roman Holiday,0,1953,118,"Comedy,Romance",6.402712047026263
6630,It Happened One Night,0,1934,105,"Comedy,Romance",6.328939683269538
127918,The 40-Year-Old Virgin,0,2005,116,"Comedy,Romance",6.232881851895664
55492,Pretty Woman,0,1990,119,"Comedy,Romance",6.096117229537895
68952,There's Something About Mary,0,1998,119,"Comedy,Romance",6.068108178549416
126790,Wedding Crashers,0,2005,119,"Comedy,Romance",6.045848120541234
91144,Meet the Parents,0,2000,108,"Comedy,Romance",6.017538832260472
2256,Sherlock Jr.,0,1924,45,"Action,Comedy,Romance",6.014368282323536
136852,Knocked Up,0,2007,129,"Comedy,Romance",5.973462346927935
11557,The Philadelphia Story,0,1940,112,"Comedy,Romance",5.954994661207664
152196,Yes Man,0,2008,104,"Comedy,Romance",5.881501465031883
60036,Andaz Apna Apna,0,1994,160,"Action,Comedy,Romance",5.8805225292053445
52345,Coming to America,0,1988,117,"Comedy,Romance",5.878630761371946
134526,The Holiday,0,2006,136,"Comedy,Romance",5.869920108566177
13296,To Be or Not to Be,0,1942,99,"Comedy,Romance,War",5.859570124822194
158969,"I Love You, Man",0,2009,105,"Comedy,Romance",5.789257882366943
182778,Bridesmaids,0,2011,125,"Comedy,Romance",5.783142785368948
61787,Clueless,0,1995,97,"Comedy,Romance",5.746305438962853
192927,"Love, Rosie",0,2014,102,"Comedy,Romance",5.6999228229586505
99875,Çöpçüler Krali,0,1977,80,"Comedy,Romance",5.699384741811757
68227,Election,0,1999,103,"Comedy,Romance",5.668009009406663
43042,Gol Maal,0,1979,120,"Comedy,Romance",5.663622615376136
125554,Hitch,0,2005,118,"Comedy,Romance",5.6490703055355915
192697,Friends with Benefits,0,2011,109,"Comedy,Romance",5.632210942016941
218687,Vicky Donor,0,2012,126,"Comedy,Romance",5.628352716518865
62337,Mallrats,0,1995,94,"Comedy,Romance",5.5429796244218945
48439,Sixteen Candles,0,1984,93,"Comedy,Romance",5.524709864688359
160767,Whatever Works,0,2009,93,"Comedy,Romance",5.377554163936949
188936,Just Go with It,0,2011,117,"Comedy,Romance",5.371157914560629
99161,How to Lose a Guy in 10 Days,0,2003,116,"Comedy,Romance",5.368726243275173
96830,Serendipity,0,2001,90,"Comedy,Romance",5.3508260337546085
212198,Long Shot,0,2019,125,"Comedy,Romance",5.345471356733342
99010,Legally Blonde,0,2001,96,"Comedy,Romance",5.3302249836474065
108782,Meet the Fockers,0,2004,115,"Comedy,Romance",5.325789140332078
158143,The Ugly Truth,0,2009,96,"Comedy,Romance",5.317568805148616
32903,The Party,0,1968,99,"Comedy,Romance",5.312765241973469
147016,Zack and Miri Make a Porno,0,2008,101,"Comedy,Romance",5.303461464626768
37013,"What's Up, Doc?",0,1972,94,"Comedy,Romance",5.2655222111919295
84239,Barking at the Stars,0,1998,95,"Comedy,Romance",5.265161267390939
10749,Ninotchka,0,1939,110,"Comedy,Romance",5.256831778610652
52278,Bull Durham,0,1988,108,"Comedy,Romance,Sport",5.243574478600212
36731,"Play It Again, Sam",0,1972,85,"Comedy,Romance",5.233721664510248
12178,The Lady Eve,0,1941,94,"Comedy,Romance",5.204883740872348
80952,In July,0,2000,99,"Adventure,Comedy,Romance",5.202190943620877
153493,Blended,0,2014,117,"Comedy,Romance",5.18820062353749
183361,What If,0,2013,98,"Comedy,Romance",5.1759358280137
177865,No Strings Attached,0,2011,108,"Comedy,Romance",5.1743272850265445
190964,This Means War,0,2012,103,"Action,Comedy,Romance",5.164800087696458
8692,The Awful Truth,0,1937,90,"Comedy,Romance",5.156587025556164
48738,Better Off Dead...,0,1985,97,"Comedy,Romance",5.153519843951956
51676,Overboard,0,1987,112,"Comedy,Romance",5.149443409436596
275099,Seeking True Love,0,2017,116,"Comedy,Romance",5.116390221335461
151850,Welcome to the Sticks,0,2008,106,"Comedy,Romance",5.115248659550598
141362,She's Out of My League,0,2010,104,"Comedy,Romance",5.114773023183288
134093,She's the Man,0,2006,105,"Comedy,Romance,Sport",5.1095581938701775
49703,Weird Science,0,1985,94,"Comedy,Romance,Sci-Fi",5.094120529950914
22388,The Seven Year Itch,0,1955,105,"Comedy,Romance",5.0828446104365845
58821,Dave,0,1993,110,"Comedy,Romance",5.082228764148519
112722,Nuvvu Naaku Nachchav,0,2001,184,"Comedy,Romance",5.068210585363145
9765,Holiday,0,1938,95,"Comedy,Romance",5.06711908140516
278210,Always Be My Maybe,0,2019,101,"Comedy,Romance",5.04496685487691
107186,National Lampoon's Van Wilder,0,2002,92,"Comedy,Romance",5.01955007115197
54536,The War of the Roses,0,1989,116,"Comedy,Romance",5.008952714198399
163346,Leap Year,0,2010,100,"Comedy,Romance",5.00129861655083
157556,Sex Drive,0,2008,109,"Comedy,Romance",4.99871297645933
17179,Adam's Rib,0,1949,101,"Comedy,Romance",4.994426227326731
149152,What Happens in Vegas,0,2008,99,"Comedy,Romance",4.982087238547869
22418,Smiles of a Summer Night,0,1955,109,"Comedy,Romance",4.9650376137899315
194135,The DUFF,0,2015,101,"Comedy,Romance",4.961279096075218
146173,27 Dresses,0,2008,111,"Comedy,Romance",4.95215517355792
2007,Our Hospitality,0,1923,65,"Comedy,Romance,Thriller",4.937943232032317
11858,Ball of Fire,0,1941,111,"Comedy,Romance",4.934921567245249
137341,Priceless,0,2006,106,"Comedy,Romance",4.906656601321088
2529,Seven Chances,0,1925,56,"Comedy,Romance",4.902132875756762
131504,Just Friends,0,2005,96,"Comedy,Romance",4.89849946739987
25692,Pillow Talk,0,1959,102,"Comedy,Romance",4.897884054246159
