,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
135671,The Dark Knight,0,2008,152,"Action,Crime,Drama",8.994117016698667
78330,The Lord of the Rings: The Return of the King,0,2003,201,"Action,Adventure,Drama",8.771567141719473
175302,Inception,0,2010,148,"Action,Adventure,Sci-Fi",8.723375053228095
65860,The Lord of the Rings: The Fellowship of the Ring,0,2001,178,"Action,Adventure,Drama",8.58546434443928
78331,The Lord of the Rings: The Two Towers,0,2002,179,"Action,Adventure,Drama",8.51575453190587
69819,The Matrix,0,1999,136,"Action,Sci-Fi",8.501043730284735
43933,Star Wars: Episode V - The Empire Strikes Back,0,1980,124,"Action,Adventure,Fantasy",8.270213605403857
41571,Star Wars: Episode IV - A New Hope,0,1977,121,"Action,Adventure,Fantasy",8.205835380078835
79588,Gladiator,0,2000,155,"Action,Adventure,Drama",8.166456659897023
173247,The Dark Knight Rises,0,2012,164,"Action,Drama,Thriller",8.141807044552388
56972,Terminator 2: Judgment Day,0,1991,137,"Action,Sci-Fi",8.081264223763625
60771,Léon: The Professional,0,1994,110,"Action,Crime,Drama",8.019957383642536
246994,Avengers: Endgame,0,2019,181,"Action,Adventure,Drama",7.924097082889247
246993,Avengers: Infinity War,0,2018,149,"Action,Adventure,Sci-Fi",7.89609160849399
123247,Batman Begins,0,2005,140,"Action,Crime,Drama",7.866691661030693
45380,Raiders of the Lost Ark,0,1981,115,"Action,Adventure",7.825107466796604
47299,Star Wars: Episode VI - Return of the Jedi,0,1983,131,"Action,Adventure,Fantasy",7.775748928469582
103229,Kill Bill: Vol. 1,0,2003,111,"Action,Crime,Thriller",7.713494359300862
131630,V for Vendetta,0,2005,132,"Action,Drama,Sci-Fi",7.712719317677536
49800,Aliens,0,1986,137,"Action,Adventure,Sci-Fi",7.65078396730059
59167,Jurassic Park,0,1993,127,"Action,Adventure,Sci-Fi",7.64975547126697
142746,The Avengers,0,2012,143,"Action,Sci-Fi",7.641442148143998
115664,Pirates of the Caribbean: The Curse of the Black Pearl,0,2003,143,"Action,Adventure,Fantasy",7.62606805865188
52429,Die Hard,0,1988,132,"Action,Thriller",7.582885268199551
176485,Mad Max: Fury Road,0,2015,120,"Action,Adventure,Sci-Fi",7.56415591959505
207281,Guardians of the Galaxy,0,2014,121,"Action,Adventure,Comedy",7.562511283467952
251974,Spider-Man: Into the Spider-Verse,0,2018,117,"Action,Adventure,Animation",7.541612263542873
121877,Oldboy,0,2003,120,"Action,Drama,Mystery",7.535587462536943
153526,Spider-Man: No Way Home,0,2021,148,"Action,Adventure,Fantasy",7.522764885801036
139258,Avatar,0,2009,162,"Action,Adventure,Fantasy",7.519140028950018
62097,Heat,0,1995,170,"Action,Crime,Drama",7.517085325696461
53881,Indiana Jones and the Last Crusade,0,1989,127,"Action,Adventure",7.502197434885347
179331,Deadpool,0,2016,108,"Action,Comedy",7.490673281766687
48513,The Terminator,0,1984,107,"Action,Sci-Fi",7.481694372058133
197467,Top Gun: Maverick,0,2022,130,"Action,Drama",7.45214981228015
236461,Logan,0,2017,137,"Action,Drama,Sci-Fi",7.41850801042809
45755,Blade Runner,0,1982,117,"Action,Drama,Sci-Fi",7.417665491429759
21593,Seven Samurai,0,1954,207,"Action,Drama",7.40932992916885
123074,Iron Man,0,2008,126,"Action,Adventure,Sci-Fi",7.403375287415001
143928,How to Train Your Dragon,0,2010,98,"Action,Adventure,Animation",7.399453313821117
286746,1917,0,2019,119,"Action,Drama,War",7.380856995551559
193954,The Revenant,0,2015,156,"Action,Adventure,Drama",7.352732020609727
124161,Kill Bill: Vol. 2,0,2004,137,"Action,Crime,Thriller",7.31571337718762
114065,The Incredibles,0,2004,115,"Action,Adventure,Animation",7.309325325138528
291599,Spider-Man: Across the Spider-Verse,0,2023,140,"Action,Adventure,Animation",7.266673896937123
65859,"Lock, Stock and Two Smoking Barrels",0,1998,107,"Action,Comedy,Crime",7.2634864172746125
159397,Dune,0,2021,155,"Action,Adventure,Drama",7.252940453385506
223622,Star Wars: Episode VII - The Force Awakens,0,2015,138,"Action,Adventure,Sci-Fi",7.238597897787851
124674,Casino Royale,0,2006,144,"Action,Adventure,Thriller",7.238512737451926
65241,Princess Mononoke,0,1997,134,"Action,Adventure,Animation",7.231876159753677
238983,Thor: Ragnarok,0,2017,130,"Action,Adventure,Comedy",7.227458624206433
132401,The Bourne Ultimatum,0,2007,115,"Action,Mystery,Thriller",7.2157112989152985
201605,Captain America: The Winter Soldier,0,2014,136,"Action,Adventure,Sci-Fi",7.192878224694415
202952,X-Men: Days of Future Past,0,2014,132,"Action,Adventure,Sci-Fi",7.189109006116907
202124,Blade Runner 2049,0,2017,164,"Action,Drama,Mystery",7.185554857063815
192676,Edge of Tomorrow,0,2014,113,"Action,Adventure,Sci-Fi",7.17125588316899
157585,District 9,0,2009,112,"Action,Sci-Fi,Thriller",7.166515285023011
205987,Rush,0,2013,123,"Action,Biography,Drama",7.159347057547666
238933,Captain America: Civil War,0,2016,147,"Action,Sci-Fi",7.159165088382672
168459,Warrior,0,2011,140,"Action,Drama,Sport",7.1480011725121475
25654,North by Northwest,0,1959,136,"Action,Adventure,Mystery",7.120874534506965
140533,Star Trek,0,2009,127,"Action,Adventure,Sci-Fi",7.096503829925945
152673,Skyfall,0,2012,143,"Action,Adventure,Thriller",7.086808250796672
202951,The Batman,0,2022,176,"Action,Crime,Drama",7.085275999816483
205040,Ford v Ferrari,0,2019,152,"Action,Biography,Drama",7.07786008345363
255783,Dunkirk,0,2017,106,"Action,Drama,History",7.06871447683839
140015,Drive,0,2011,100,"Action,Drama",7.054418634619013
101007,The Bourne Identity,0,2002,119,"Action,Mystery,Thriller",7.050492127575657
242344,Rogue One: A Star Wars Story,0,2016,133,"Action,Adventure,Sci-Fi",7.047600417131022
144874,Taken,0,2008,90,"Action,Crime,Thriller",7.011185166867079
89926,Children of Men,0,2006,109,"Action,Drama,Sci-Fi",7.00339014318498
166915,X-Men: First Class,0,2011,131,"Action,Sci-Fi",6.992342074519442
129166,300,0,2006,117,"Action,Drama",6.989705149821425
229634,Kingsman: The Secret Service,0,2014,129,"Action,Adventure,Comedy",6.9800364183583055
66242,Star Wars: Episode III - Revenge of the Sith,0,2005,140,"Action,Adventure,Fantasy",6.974769467850433
130396,Hot Fuzz,0,2007,121,"Action,Comedy,Mystery",6.921188609872609
244167,Guardians of the Galaxy Vol. 2,0,2017,136,"Action,Adventure,Comedy",6.912980080857945
164681,Zack Snyder's Justice League,0,2021,242,"Action,Adventure,Fantasy",6.893399426347702
216149,Big Hero 6,0,2014,102,"Action,Adventure,Animation",6.8794488722103955
186889,Captain Phillips,0,2013,134,"Action,Biography,Crime",6.875137291779075
147931,Soorarai Pottru,0,2020,153,"Action,Drama",6.859654681438632
