,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,logNumVotes,FilmRating
60730,tt0110357,movie,The Lion King,The Lion King,0,1994,\N,88,"Adventure,Animation,Drama",0.85,1093086,0.9374204258256442,7.968073619517976
144383,tt0910970,movie,WALL·E,WALL·E,0,2008,\N,98,"Adventure,Animation,Family",0.8400000000000001,1151162,0.9409104735810304,7.903647978080657
97862,tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,0,2001,\N,125,"Adventure,Animation,Family",0.86,797368,0.9161536997504993,7.878921817854295
150584,tt1049413,movie,Up,Up,0,2009,\N,96,"Adventure,Animation,Comedy",0.8300000000000001,1077524,0.9364537082783454,7.772565778710268
62823,tt0114709,movie,Toy Story,Toy Story,0,1995,\N,81,"Adventure,Animation,Comedy",0.8300000000000001,1025572,0.9331222062292579,7.744914311702841
103196,tt0266543,movie,Finding Nemo,Finding Nemo,0,2003,\N,100,"Adventure,Animation,Comedy",0.82,1072999,0.9361699923740193,7.676593937466958
131772,tt0435761,movie,Toy Story 3,Toy Story 3,0,2010,\N,103,"Adventure,Animation,Comedy",0.8300000000000001,860691,0.9213057647288905,7.646837847249791
251974,tt4633694,movie,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,0,2018,\N,117,"Action,Adventure,Animation",0.8400000000000001,607434,0.8978109837551038,7.541612263542873
87691,tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",0,2001,\N,92,"Adventure,Animation,Comedy",0.8099999999999999,938547,0.9271440230168404,7.509866586436407
220950,tt2380307,movie,Coco,Coco,0,2017,\N,105,"Adventure,Animation,Drama",0.8400000000000001,542229,0.8901552782297549,7.477304337129942
125033,tt0382932,movie,Ratatouille,Ratatouille,0,2007,\N,111,"Adventure,Animation,Comedy",0.8099999999999999,774539,0.9141953100070183,7.404982011056847
143928,tt0892769,movie,How to Train Your Dragon,How to Train Your Dragon,0,2010,\N,98,"Action,Adventure,Animation",0.8099999999999999,766737,0.9135127547927305,7.399453313821117
210145,tt2096673,movie,Inside Out,Inside Out,0,2015,\N,95,"Adventure,Animation,Comedy",0.8099999999999999,743302,0.9114199909961269,7.382501927068628
114065,tt0317705,movie,The Incredibles,The Incredibles,0,2004,\N,115,"Action,Adventure,Animation",0.8,768478,0.913665665642316,7.309325325138528
291599,tt9362722,movie,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,0,2023,\N,140,"Action,Adventure,Animation",0.89,181796,0.8164802131390025,7.266673896937123
65241,tt0119698,movie,Princess Mononoke,Mononoke-hime,0,1997,\N,134,"Action,Adventure,Animation",0.8300000000000001,410004,0.8713103806932139,7.231876159753677
52615,tt0095327,movie,Grave of the Fireflies,Hotaru no haka,0,1988,\N,89,"Animation,Drama,War",0.85,290148,0.8479987249643762,7.207989162197198
67951,tt0126029,movie,Shrek,Shrek,0,2001,\N,90,"Adventure,Animation,Comedy",0.79,704174,0.9077742094382899,7.171416254562491
118816,tt0347149,movie,Howl's Moving Castle,Hauru no ugoku shiro,0,2004,\N,119,"Adventure,Animation,Family",0.82,416496,0.8723695201180034,7.153430064967628
259220,tt5311514,movie,Your Name.,Kimi no na wa.,0,2016,\N,106,"Animation,Drama,Fantasy",0.8400000000000001,291412,0.8482917884960967,7.125651023367212
231344,tt2948356,movie,Zootopia,Zootopia,0,2016,\N,108,"Adventure,Animation,Comedy",0.8,520509,0.8873991295625604,7.099193036500484
65628,tt0120363,movie,Toy Story 2,Toy Story 2,0,1999,\N,92,"Adventure,Animation,Comedy",0.79,599239,0.8968952386859728,7.085472385619185
55984,tt0101414,movie,Beauty and the Beast,Beauty and the Beast,0,1991,\N,84,"Animation,Family,Fantasy",0.8,466752,0.880049907777961,7.040399262223689
57179,tt0103639,movie,Aladdin,Aladdin,0,1992,\N,90,"Adventure,Animation,Comedy",0.8,441480,0.8762970380821546,7.010376304657237
53198,tt0096283,movie,My Neighbor Totoro,Tonari no Totoro,0,1988,\N,86,"Animation,Comedy,Family",0.8099999999999999,356016,0.8617914906040527,6.980511073892827
231345,tt2948372,movie,Soul,Soul,0,2020,\N,100,"Adventure,Animation,Comedy",0.8,350023,0.8606469411404493,6.885175529123595
216149,tt2245084,movie,Big Hero 6,Big Hero 6,0,2014,\N,102,"Action,Adventure,Animation",0.78,480312,0.8819806246423583,6.8794488722103955
59406,tt0107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,0,1993,\N,76,"Animation,Family,Fantasy",0.79,353362,0.8612870224232732,6.804167477143858
170908,tt1323594,movie,Despicable Me,Despicable Me,0,2010,\N,95,"Adventure,Animation,Comedy",0.76,563916,0.8927992184028498,6.785274059861659
127048,tt0398286,movie,Tangled,Tangled,0,2010,\N,100,"Adventure,Animation,Comedy",0.77,472648,0.8808962016005801,6.782900752324466
198500,tt1772341,movie,Wreck-It Ralph,Wreck-It Ralph,0,2012,\N,101,"Adventure,Animation,Comedy",0.77,440301,0.8761167521348352,6.746098991438231
132503,tt0441773,movie,Kung Fu Panda,Kung Fu Panda,0,2008,\N,92,"Action,Adventure,Animation",0.76,492620,0.8836864584514378,6.716017084230927
