,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
175302,Inception,0,2010,148,"Action,Adventure,Sci-Fi",8.723
69819,The Matrix,0,1999,136,"Action,Sci-Fi",8.501
141460,Interstellar,0,2014,169,"Adventure,Drama,Sci-Fi",8.491
137409,The Prestige,0,2006,130,"Drama,Mystery,Sci-Fi",8.099
56972,Terminator 2: Judgment Day,0,1991,137,"Action,Sci-Fi",8.081
48720,Back to the Future,0,1985,116,"Adventure,Comedy,Sci-Fi",8.044
246993,Avengers: Infinity War,0,2018,149,"Action,Adventure,Sci-Fi",7.896
42707,Alien,0,1979,117,"Horror,Sci-Fi",7.862
117450,Eternal Sunshine of the Spotless Mind,0,2004,108,"Drama,Romance,Sci-Fi",7.751
131630,V for Vendetta,0,2005,132,"Action,Drama,Sci-Fi",7.713
49800,Aliens,0,1986,137,"Action,Adventure,Sci-Fi",7.651
59167,Jurassic Park,0,1993,127,"Action,Adventure,Sci-Fi",7.65
142746,The Avengers,0,2012,143,"Action,Sci-Fi",7.641
35246,A Clockwork Orange,0,1971,136,"Crime,Sci-Fi",7.641
176485,Mad Max: Fury Road,0,2015,120,"Action,Adventure,Sci-Fi",7.564
32322,2001: A Space Odyssey,0,1968,149,"Adventure,Sci-Fi",7.523
48513,The Terminator,0,1984,107,"Action,Sci-Fi",7.482
236461,Logan,0,2017,137,"Action,Drama,Sci-Fi",7.419
45755,Blade Runner,0,1982,117,"Action,Drama,Sci-Fi",7.418
123074,Iron Man,0,2008,126,"Action,Adventure,Sci-Fi",7.403
241066,The Martian,0,2015,144,"Adventure,Drama,Sci-Fi",7.385
98176,Donnie Darko,0,2001,113,"Drama,Mystery,Sci-Fi",7.347
223622,Star Wars: Episode VII - The Force Awakens,0,2015,138,"Action,Adventure,Sci-Fi",7.239
199551,Her,0,2013,126,"Drama,Romance,Sci-Fi",7.211
62833,12 Monkeys,0,1995,129,"Mystery,Sci-Fi,Thriller",7.203
201605,Captain America: The Winter Soldier,0,2014,136,"Action,Adventure,Sci-Fi",7.193
202952,X-Men: Days of Future Past,0,2014,132,"Action,Adventure,Sci-Fi",7.189
224525,Arrival,0,2016,116,"Drama,Mystery,Sci-Fi",7.187
46473,The Thing,0,1982,109,"Horror,Mystery,Sci-Fi",7.186
192676,Edge of Tomorrow,0,2014,113,"Action,Adventure,Sci-Fi",7.171
157585,District 9,0,2009,112,"Action,Sci-Fi,Thriller",7.167
238933,Captain America: Civil War,0,2016,147,"Action,Sci-Fi",7.159
140533,Star Trek,0,2009,127,"Action,Adventure,Sci-Fi",7.097
181080,Gravity,0,2013,91,"Drama,Sci-Fi,Thriller",7.083
242344,Rogue One: A Star Wars Story,0,2016,133,"Action,Adventure,Sci-Fi",7.048
89926,Children of Men,0,2006,109,"Action,Drama,Sci-Fi",7.003
166915,X-Men: First Class,0,2011,131,"Action,Sci-Fi",6.992
53445,Back to the Future Part II,0,1989,108,"Adventure,Comedy,Sci-Fi",6.953
45898,E.T. the Extra-Terrestrial,0,1982,115,"Adventure,Family,Sci-Fi",6.9
135968,Ex Machina,0,2014,108,"Drama,Sci-Fi,Thriller",6.875
73311,Spider-Man,0,2002,121,"Action,Adventure,Sci-Fi",6.809
177642,Star Trek Into Darkness,0,2013,132,"Action,Adventure,Sci-Fi",6.802
205088,The Hunger Games: Catching Fire,0,2013,146,"Action,Adventure,Sci-Fi",6.796
2809,Metropolis,0,1927,153,"Drama,Sci-Fi",6.769
170464,Rise of the Planet of the Apes,0,2011,105,"Action,Drama,Sci-Fi",6.766
221546,Avengers: Age of Ultron,0,2015,141,"Action,Adventure,Sci-Fi",6.743
161022,Moon,0,2009,97,"Drama,Mystery,Sci-Fi",6.739
108751,The Butterfly Effect,0,2004,113,"Drama,Sci-Fi,Thriller",6.728
64887,The Fifth Element,0,1997,126,"Action,Adventure,Sci-Fi",6.712
216458,Spider-Man: Homecoming,0,2017,133,"Action,Adventure,Sci-Fi",6.705
113836,Spider-Man 2,0,2004,127,"Action,Adventure,Sci-Fi",6.699
200580,Black Panther,0,2018,134,"Action,Adventure,Sci-Fi",6.694
272522,A Quiet Place,0,2018,90,"Drama,Horror,Sci-Fi",6.687
176484,The Hunger Games,0,2012,142,"Action,Adventure,Sci-Fi",6.683
64925,Gattaca,0,1997,106,"Drama,Sci-Fi,Thriller",6.656
219420,PK,0,2014,153,"Comedy,Drama,Sci-Fi",6.649
124463,Serenity,0,2005,119,"Action,Adventure,Sci-Fi",6.634
163497,Limitless,0,2011,105,"Sci-Fi,Thriller",6.631
167283,Looper,0,2012,119,"Action,Drama,Sci-Fi",6.628
136939,Ant-Man,0,2015,117,"Action,Comedy,Sci-Fi",6.622
108873,X2: X-Men United,0,2003,134,"Action,Sci-Fi,Thriller",6.606
65975,X-Men,0,2000,104,"Action,Adventure,Sci-Fi",6.572
108535,28 Days Later,0,2002,113,"Drama,Horror,Sci-Fi",6.555
169089,Iron Man 3,0,2013,130,"Action,Adventure,Sci-Fi",6.548
32917,Planet of the Apes,0,1968,112,"Adventure,Sci-Fi",6.545
48766,Brazil,0,1985,132,"Drama,Sci-Fi",6.517
